Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
INR,,8.2242,,9.2742,,2021.06.09 23:42:44,
INR,,8.2242,,9.2742,,2021.06.09 23:42:44,
INR,,8.2242,,9.2742,,2021.06.09 23:42:44,
INR,,8.2242,,9.2742,,2021.06.09 23:32:17,
INR,,8.2266,,9.2768,,2021.06.09 23:00:39,
INR,,8.2268,,9.277,,2021.06.09 22:51:56,
INR,,8.2266,,9.2768,,2021.06.09 22:48:47,
INR,,8.2241,,9.2739,,2021.06.09 22:38:03,
INR,,8.2277,,9.2781,,2021.06.09 22:04:31,
INR,,8.2294,,9.28,,2021.06.09 21:44:48,
INR,,8.2289,,9.2793,,2021.06.09 21:36:16,
INR,,8.2288,,9.2792,,2021.06.09 21:31:36,
INR,,8.2294,,9.28,,2021.06.09 21:31:25,
INR,,8.2295,,9.2801,,2021.06.09 21:28:29,
INR,,8.2283,,9.2787,,2021.06.09 20:15:04,
INR,,8.2257,,9.2757,,2021.06.09 19:45:41,
INR,,8.2271,,9.2773,,2021.06.09 19:29:25,
INR,,8.2247,,9.2747,,2021.06.09 18:21:24,
INR,,8.2257,,9.2757,,2021.06.09 18:18:43,
INR,,8.2256,,9.2756,,2021.06.09 18:10:36,
INR,,8.2255,,9.2755,,2021.06.09 17:59:38,
INR,,8.2253,,9.2753,,2021.06.09 17:58:29,
INR,,8.2256,,9.2756,,2021.06.09 17:54:03,
INR,,8.2242,,9.2742,,2021.06.09 17:51:27,
INR,,8.2274,,9.2778,,2021.06.09 17:49:21,
INR,,8.226,,9.2762,,2021.06.09 17:47:23,
INR,,8.2274,,9.2778,,2021.06.09 17:33:07,
INR,,8.2299,,9.2805,,2021.06.09 17:28:23,
INR,,8.2293,,9.2799,,2021.06.09 17:21:56,
INR,,8.2281,,9.2785,,2021.06.09 17:19:20,
INR,,8.2279,,9.2783,,2021.06.09 17:17:12,
INR,,8.228,,9.2784,,2021.06.09 17:13:24,
INR,,8.2288,,9.2792,,2021.06.09 17:12:16,
INR,,8.2279,,9.2783,,2021.06.09 17:11:37,
INR,,8.2296,,9.2802,,2021.06.09 17:09:11,
INR,,8.2292,,9.2798,,2021.06.09 16:46:20,
INR,,8.229,,9.2796,,2021.06.09 16:40:42,
INR,,8.2296,,9.2802,,2021.06.09 16:37:36,
INR,,8.2305,,9.2813,,2021.06.09 16:37:05,
INR,,8.2326,,9.2836,,2021.06.09 16:31:21,
