Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
AED,,167.77,,180.24,174.12,2021.06.09 23:42:44,
AED,,167.77,,180.24,174.12,2021.06.09 23:42:44,
AED,,167.77,,180.24,174.12,2021.06.09 23:42:44,
AED,,167.77,,180.24,174.12,2021.06.09 23:32:17,
AED,,167.77,,180.24,174.12,2021.06.09 23:00:39,
AED,,167.76,,180.22,174.12,2021.06.09 22:51:56,
AED,,167.76,,180.22,174.12,2021.06.09 22:48:47,
AED,,167.7,,180.16,174.12,2021.06.09 22:38:03,
AED,,167.7,,180.16,174.12,2021.06.09 22:04:31,
AED,,167.76,,180.22,174.12,2021.06.09 21:44:48,
AED,,167.76,,180.22,174.12,2021.06.09 21:36:16,
AED,,167.76,,180.22,174.12,2021.06.09 21:31:36,
AED,,167.77,,180.23,174.12,2021.06.09 21:31:25,
AED,,167.77,,180.23,174.12,2021.06.09 21:28:29,
AED,,167.76,,180.22,174.12,2021.06.09 20:15:04,
AED,,167.76,,180.22,174.12,2021.06.09 19:45:41,
AED,,167.76,,180.22,174.12,2021.06.09 19:29:25,
AED,,167.77,,180.23,174.12,2021.06.09 18:21:24,
AED,,167.77,,180.23,174.12,2021.06.09 18:18:43,
AED,,167.77,,180.23,174.12,2021.06.09 18:10:36,
AED,,167.77,,180.24,174.12,2021.06.09 17:59:38,
AED,,167.77,,180.24,174.12,2021.06.09 17:58:29,
AED,,167.77,,180.24,174.12,2021.06.09 17:54:03,
AED,,167.79,,180.26,174.12,2021.06.09 17:51:27,
AED,,167.8,,180.27,174.12,2021.06.09 17:49:21,
AED,,167.8,,180.27,174.12,2021.06.09 17:47:23,
AED,,167.8,,180.27,174.12,2021.06.09 17:33:07,
AED,,167.83,,180.3,174.12,2021.06.09 17:28:23,
AED,,167.81,,180.28,174.12,2021.06.09 17:21:56,
AED,,167.81,,180.28,174.12,2021.06.09 17:19:20,
AED,,167.81,,180.28,174.12,2021.06.09 17:17:12,
AED,,167.81,,180.28,174.12,2021.06.09 17:13:24,
AED,,167.83,,180.3,174.12,2021.06.09 17:12:16,
AED,,167.83,,180.3,174.12,2021.06.09 17:11:37,
AED,,167.83,,180.3,174.12,2021.06.09 17:09:11,
AED,,167.81,,180.28,174.12,2021.06.09 16:46:20,
AED,,167.83,,180.3,174.12,2021.06.09 16:40:42,
AED,,167.83,,180.3,174.12,2021.06.09 16:37:36,
AED,,167.84,,180.31,174.12,2021.06.09 16:37:05,
AED,,167.86,,180.33,174.12,2021.06.09 16:31:21,
AED,,167.86,,180.33,174.12,2021.06.09 16:29:58,
AED,,167.87,,180.34,174.12,2021.06.09 16:29:48,
AED,,167.88,,180.35,174.12,2021.06.09 16:29:04,
AED,,167.88,,180.35,174.12,2021.06.09 16:26:24,
AED,,167.91,,180.39,174.12,2021.06.09 16:23:05,
