Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 23:42:44,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 23:42:44,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 23:42:44,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 23:32:17,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 23:00:39,
MOP,79.82,77.14,80.13,82.81,,2021.06.09 22:51:56,
MOP,79.82,77.14,80.13,82.81,,2021.06.09 22:48:47,
MOP,79.79,77.11,80.1,82.77,,2021.06.09 22:38:03,
MOP,79.8,77.12,80.11,82.78,,2021.06.09 22:04:31,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 21:44:48,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 21:36:16,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 21:31:36,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 21:31:25,
MOP,79.83,77.15,80.14,82.82,,2021.06.09 21:28:29,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 20:15:04,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 19:45:41,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 19:29:25,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 18:21:24,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 18:18:43,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 18:10:36,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 17:59:38,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 17:58:29,
MOP,79.84,77.16,80.15,82.83,,2021.06.09 17:54:03,
MOP,79.85,77.17,80.16,82.84,,2021.06.09 17:51:27,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 17:49:21,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 17:47:23,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 17:33:07,
MOP,79.87,77.19,80.18,82.86,,2021.06.09 17:28:23,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 17:21:56,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 17:19:20,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 17:17:12,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 17:13:24,
MOP,79.87,77.19,80.18,82.86,,2021.06.09 17:12:16,
MOP,79.87,77.19,80.18,82.86,,2021.06.09 17:11:37,
MOP,79.87,77.19,80.18,82.86,,2021.06.09 17:09:11,
MOP,79.86,77.18,80.17,82.85,,2021.06.09 16:46:20,
MOP,79.87,77.19,80.18,82.86,,2021.06.09 16:40:42,
MOP,79.87,77.19,80.18,82.86,,2021.06.09 16:37:36,
MOP,79.88,77.2,80.19,82.87,,2021.06.09 16:37:05,
MOP,79.88,77.2,80.19,82.87,,2021.06.09 16:31:21,
MOP,79.88,77.2,80.19,82.87,,2021.06.09 16:29:58,
MOP,79.89,77.21,80.2,82.88,,2021.06.09 16:29:48,
MOP,79.89,77.21,80.2,82.88,,2021.06.09 16:29:04,
